features,Cluster.Index,M/Z,RT,Annotation,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,ppm.error,Analog?,Nearest.Neighbors,Proximity,CF_class,CF_Dparent,CF_kingdom,CF_MFramework,CF_subclass,CF_superclass,fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X373.2721_2.67_48,48,373.2721,2.67,URSOCHOLIC ACID,0.846769,15,53.0489,124434,Yes,Spectral Match to Cholic acid from NIST14,First,Steroids and steroid derivatives,Cholesterols and derivatives,Organic compounds,Aliphatic homopolycyclic compounds,Cholestane steroids,Lipids and lipid-like molecules,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X520.3385_2.86_51,51,520.3385,2.86,Massbank:PR310844 LPC 18:2,0.788289,6,0.00250244,4.80923,No,Massbank:PR310841 LPC 18:3,First,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X355.2615_2.67_142,142,355.2615,2.67,Spectral Match to Cholic acid from NIST14,0.739535,14,0.00149536,4.20917,No,URSOCHOLIC ACID,First Analog,Steroids and steroid derivatives,Cholesterols and derivatives,Organic compounds,Aliphatic homopolycyclic compounds,Cholestane steroids,Lipids and lipid-like molecules,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X527.1573_0.25_198,198,527.1573,0.25,RAFFINOSE,0.924812,5,0.000732422,1.38938,No,STACHYOSE,First,Organooxygen compounds,Oligosaccharides,Organic compounds,Aliphatic heteromonocyclic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds,NA,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes
X391.2826_2.78_203,203,391.2826,2.78,Spectral Match to 12-Ketodeoxycholic acid from NIST14,0.822746,16,0.00140381,3.5877,No,Spectral Match to 12-Ketodeoxycholic acid from NIST14,First Analog,Steroids and steroid derivatives,"Monohydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X689.2088_0.25_360,360,689.2088,0.25,STACHYOSE,0.904611,8,0.00219727,3.18809,No,RAFFINOSE,First,Organooxygen compounds,Oligosaccharides,Organic compounds,Aliphatic heteromonocyclic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
X371.2563_2.62_430,430,371.2563,2.62,NA,NA,NA,NA,NA,No,"""(4R)-4-((3R,5S,6S,7R,8R,9S,10R,12S,13R,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X439.1412_0.25_458,458,439.1412,0.25,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA
X310.1124_0.29_480,480,310.1124,0.29,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,Carboxylic acids and derivatives,Alpha amino acids,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X162.0758_0.27_512,512,162.0758,0.27,Massbank:PB000463 Glutamic acid|2-aminopentanedioic acid,0.947399,4,14.0148,94655.6,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA
