fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X256.2261_3.39_3941,X348.1756_0.4_5032,X564.304_2.81_9730,X276.1584_2.95_9190,X395.3142_3.19_4506,X268.1875_2.68_8782,X268.1875_2.68_8782,X268.1875_2.68_8782,X185.9595_0.25_1537,X445.3296_3.2_3195,X732.5512_3.71_9851,X395.3142_3.19_4506,X268.1875_2.68_8782,X268.1875_2.68_8782,X268.1875_2.68_8782,X445.3296_3.2_3195,X564.304_2.81_9730,X309.6628_3_9216,X268.1875_2.68_8782,X268.1875_2.68_8782,X268.1875_2.68_8782,X564.304_2.81_9730,X606.4474_3.26_3184,X268.1875_2.68_8782,X268.1875_2.68_8782,X268.1875_2.68_8782,X395.3142_3.19_4506,X268.1875_2.68_8782,X268.1875_2.68_8782,X268.1875_2.68_8782,X268.1875_2.68_8782,X268.1875_2.68_8782,X268.1875_2.68_8782,X309.6628_3_9216,X185.9595_0.25_1537,X185.9595_0.25_1537
X181.1581_3.28_3113,X256.2261_3.39_3941,X309.6628_3_9216,X477.3925_3.41_3134,X393.2991_3.16_2860,X254.2105_3.39_4624,X254.2105_3.39_4624,X254.2105_3.39_4624,X673.5249_3.3_9841,X564.304_2.81_9730,X419.3503_3.41_3241,X326.304_3.13_1936,X673.5249_3.3_9841,X673.5249_3.3_9841,X185.9595_0.25_1537,X564.304_2.81_9730,X500.2758_2.81_7384,X421.3298_3.28_3222,X445.3296_3.2_3195,X254.2105_3.39_4624,X185.9595_0.25_1537,X606.4474_3.26_3184,X560.3668_3.04_9237,X673.5249_3.3_9841,X673.5249_3.3_9841,X185.9595_0.25_1537,X393.2991_3.16_2860,X673.5249_3.3_9841,X673.5249_3.3_9841,X185.9595_0.25_1537,X673.5249_3.3_9841,X673.5249_3.3_9841,X185.9595_0.25_1537,X500.2758_2.81_7384,X309.6628_3_9216,X395.3142_3.19_4506
X657.2011_2.71_8426,X309.6628_3_9216,X732.5512_3.71_9851,X142.9479_0.3_6723,X309.6628_3_9216,X348.1756_0.4_5032,X256.2261_3.39_3941,X256.2261_3.39_3941,X348.1756_0.4_5032,X395.3142_3.19_4506,X258.1125_2.19_8597,X393.2991_3.16_2860,X445.3296_3.2_3195,X254.2105_3.39_4624,X673.5249_3.3_9841,X121.072_0.28_9144,X395.2756_3.01_9810,X320.1664_3_8043,X254.2105_3.39_4624,X564.304_2.81_9730,X254.2105_3.39_4624,X276.1584_2.95_9190,X309.6628_3_9216,X254.2105_3.39_4624,X254.2105_3.39_4624,X673.5249_3.3_9841,X309.6628_3_9216,X445.3296_3.2_3195,X254.2105_3.39_4624,X673.5249_3.3_9841,X445.3296_3.2_3195,X254.2105_3.39_4624,X673.5249_3.3_9841,X778.5329_3.62_8278,X421.3298_3.28_3222,X393.2991_3.16_2860
X447.3453_3.29_3028,X181.1581_3.28_3113,X419.3503_3.41_3241,X123.0553_0.3_4171,X421.3298_3.28_3222,X256.2261_3.39_3941,X309.6628_3_9216,X309.6628_3_9216,X395.3142_3.19_4506,X393.2991_3.16_2860,X256.2261_3.39_3941,X309.6628_3_9216,X254.2105_3.39_4624,X256.2261_3.39_3941,X254.2105_3.39_4624,X500.2758_2.81_7384,X477.3925_3.41_3134,X395.2756_3.01_9810,X564.304_2.81_9730,X256.2261_3.39_3941,X256.2261_3.39_3941,X477.3925_3.41_3134,X421.3298_3.28_3222,X348.1756_0.4_5032,X564.304_2.81_9730,X254.2105_3.39_4624,X421.3298_3.28_3222,X254.2105_3.39_4624,X256.2261_3.39_3941,X254.2105_3.39_4624,X254.2105_3.39_4624,X564.304_2.81_9730,X254.2105_3.39_4624,X445.3296_3.2_3195,X395.2756_3.01_9810,X421.3298_3.28_3222
X142.9479_0.3_6723,X590.3197_2.86_9649,X369.1813_2.93_9633,X732.5512_3.71_9851,X395.2756_3.01_9810,X181.1581_3.28_3113,X181.1581_3.28_3113,X181.1581_3.28_3113,X256.2261_3.39_3941,X309.6628_3_9216,X447.3453_3.29_3028,X512.3336_2.81_5890,X348.1756_0.4_5032,X309.6628_3_9216,X395.3142_3.19_4506,X247.1282_0.5_1402,X590.3197_2.86_9649,X510.3905_3.03_3063,X256.2261_3.39_3941,X181.1581_3.28_3113,X181.1581_3.28_3113,X142.9479_0.3_6723,X320.1664_3_8043,X606.4474_3.26_3184,X606.4474_3.26_3184,X606.4474_3.26_3184,X320.1664_3_8043,X348.1756_0.4_5032,X309.6628_3_9216,X395.3142_3.19_4506,X348.1756_0.4_5032,X256.2261_3.39_3941,X256.2261_3.39_3941,X348.1756_0.4_5032,X451.3773_3.42_7996,X320.1664_3_8043
X123.0553_0.3_4171,X455.3329_3.21_9071,X185.9595_0.25_1537,X419.3503_3.41_3241,X276.1584_2.95_9190,X500.2758_2.81_7384,X455.3329_3.21_9071,X421.3298_3.28_3222,X393.2991_3.16_2860,X395.2756_3.01_9810,X605.314_4.01_10145,X421.3298_3.28_3222,X395.3142_3.19_4506,X181.1581_3.28_3113,X256.2261_3.39_3941,X395.2756_3.01_9810,X455.3329_3.21_9071,X478.2913_2.85_6377,X181.1581_3.28_3113,X500.2758_2.81_7384,X421.3298_3.28_3222,X123.0553_0.3_4171,X395.2756_3.01_9810,X256.2261_3.39_3941,X256.2261_3.39_3941,X256.2261_3.39_3941,X395.2756_3.01_9810,X395.3142_3.19_4506,X181.1581_3.28_3113,X256.2261_3.39_3941,X564.304_2.81_9730,X309.6628_3_9216,X309.6628_3_9216,X395.3142_3.19_4506,X331.6742_2.99_8022,X395.2756_3.01_9810
X605.314_4.01_10145,X142.9479_0.3_6723,X673.5249_3.3_9841,X185.9595_0.25_1537,X532.336_2.95_9135,X276.1584_2.95_9190,X218.1383_0.39_1979,X395.2756_3.01_9810,X309.6628_3_9216,X657.2011_2.71_8426,X369.1813_2.93_9633,X320.1664_3_8043,X256.2261_3.39_3941,X778.5329_3.62_8278,X326.304_3.13_1936,X590.3197_2.86_9649,X478.2913_2.85_6377,X274.1757_2.17_6453,X500.2758_2.81_7384,X477.3925_3.41_3134,X395.2756_3.01_9810,X445.3296_3.2_3195,X276.1584_2.95_9190,X121.072_0.28_9144,X560.3668_3.04_9237,X181.1581_3.28_3113,X451.3773_3.42_7996,X256.2261_3.39_3941,X447.3453_3.29_3028,X393.2991_3.16_2860,X256.2261_3.39_3941,X181.1581_3.28_3113,X181.1581_3.28_3113,X393.2991_3.16_2860,X510.3905_3.03_3063,X477.3925_3.41_3134
X258.1125_2.19_8597,X123.0553_0.3_4171,X606.4474_3.26_3184,X673.5249_3.3_9841,X331.6742_2.99_8022,X451.3773_3.42_7996,X142.9479_0.3_6723,X510.3905_3.03_3063,X510.3905_3.03_3063,X447.3453_3.29_3028,,X395.2756_3.01_9810,X393.2991_3.16_2860,X455.3329_3.21_9071,X393.2991_3.16_2860,X455.3329_3.21_9071,X526.2913_2.85_4038,X365.2672_3.09_7645,X451.3773_3.42_7996,X590.3197_2.86_9649,X732.5512_3.71_9851,X395.3142_3.19_4506,X331.6742_2.99_8022,X181.1581_3.28_3113,X181.1581_3.28_3113,X421.3298_3.28_3222,X331.6742_2.99_8022,X393.2991_3.16_2860,X455.3329_3.21_9071,X309.6628_3_9216,X393.2991_3.16_2860,X320.1664_3_8043,X395.2756_3.01_9810,,X657.2011_2.71_8426,X1061.6514_2.86_9038
X185.9595_0.25_1537,X478.2913_2.85_6377,X123.0553_0.3_4171,X445.3296_3.2_3195,X510.3905_3.03_3063,X331.6742_2.99_8022,X123.0553_0.3_4171,X657.2011_2.71_8426,X477.3925_3.41_3134,X732.5512_3.71_9851,,X276.1584_2.95_9190,X181.1581_3.28_3113,X272.2573_2.71_552,X309.6628_3_9216,X478.2913_2.85_6377,X419.3503_3.41_3241,X445.3293_3.09_2249,X331.6742_2.99_8022,X218.1383_0.39_1979,X848.5743_3.6_10208,X393.2991_3.16_2860,X510.3905_3.03_3063,X395.2756_3.01_9810,X578.4162_3.13_3096,X320.1664_3_8043,X510.3905_3.03_3063,X181.1581_3.28_3113,X272.2573_2.71_552,X181.1581_3.28_3113,X181.1581_3.28_3113,X500.2758_2.81_7384,X510.3905_3.03_3063,,X590.3197_2.86_9649,X311.1611_3_8024
X673.5249_3.3_9841,X526.2913_2.85_4038,,X395.3142_3.19_4506,X311.1611_3_8024,X142.9479_0.3_6723,X272.2573_2.71_552,X1061.6514_2.86_9038,X447.3453_3.29_3028,X419.3503_3.41_3241,,X451.3773_3.42_7996,X276.1584_2.95_9190,X732.5512_3.71_9851,X181.1581_3.28_3113,X526.2913_2.85_4038,X258.1125_2.19_8597,X477.2091_2.38_6951,X590.3197_2.86_9649,X478.2913_2.85_6377,X317.246_3.15_4787,X309.6628_3_9216,X311.1611_3_8024,X276.1584_2.95_9190,X500.2758_2.81_7384,X395.2756_3.01_9810,X477.3925_3.41_3134,X395.2756_3.01_9810,X732.5512_3.71_9851,X421.3298_3.28_3222,X320.1664_3_8043,X395.2756_3.01_9810,X657.2011_2.71_8426,,X455.3329_3.21_9071,X590.3197_2.86_9649
